iter=0,err=0.527709
iter=10,err=0.509376
iter=20,err=0.469758
iter=30,err=0.439616
iter=40,err=0.412708
iter=50,err=0.389776
iter=60,err=0.359817
iter=70,err=0.321817
iter=80,err=0.280261
iter=90,err=0.237615
iter=100,err=0.203418
iter=110,err=0.174703
iter=120,err=0.148114
iter=130,err=0.120416
iter=140,err=0.092368
iter=150,err=0.070044
iter=160,err=0.058817
iter=170,err=0.052620
iter=180,err=0.049957
iter=190,err=0.045582
iter=200,err=0.041451
iter=210,err=0.039145
iter=220,err=0.033233
iter=230,err=0.030250
iter=240,err=0.028131
iter=250,err=0.027314
iter=260,err=0.021624
iter=270,err=0.017945
iter=280,err=0.017844
iter=290,err=0.017192
iter=300,err=0.034091
iter=310,err=0.044051
iter=320,err=0.049607
iter=330,err=0.051789
iter=340,err=0.051181
iter=350,err=0.049617
iter=360,err=0.048008
iter=370,err=0.048679
iter=380,err=0.049051
iter=390,err=0.049227
iter=400,err=0.048031
iter=410,err=0.044913
iter=420,err=0.044062
iter=430,err=0.044005
iter=440,err=0.043771
iter=450,err=0.044555
iter=460,err=0.044014
iter=470,err=0.042169
iter=480,err=0.040939
iter=490,err=0.039918
iter=500,err=0.039694
iter=510,err=0.040308
iter=520,err=0.040814
iter=530,err=0.040186
iter=540,err=0.041121
iter=550,err=0.039982
iter=560,err=0.038076
iter=570,err=0.036790
iter=580,err=0.035872
iter=590,err=0.034735
iter=600,err=0.034779
iter=610,err=0.034742
iter=620,err=0.034200
iter=630,err=0.034070
iter=640,err=0.033845
iter=650,err=0.034117
iter=660,err=0.033920
iter=670,err=0.033203
iter=680,err=0.032370
iter=690,err=0.032030
iter=700,err=0.030593
iter=710,err=0.030408
iter=720,err=0.029651
iter=730,err=0.030251
iter=740,err=0.030941
iter=750,err=0.030032
iter=760,err=0.028431
iter=770,err=0.028886
iter=780,err=0.029431
iter=790,err=0.029696
iter=800,err=0.028715
iter=810,err=0.028051
iter=820,err=0.027406
iter=830,err=0.026596
iter=840,err=0.026590
iter=850,err=0.027305
iter=860,err=0.026710
iter=870,err=0.026129
iter=880,err=0.026379
iter=890,err=0.026284
iter=900,err=0.025584
iter=910,err=0.025983
iter=920,err=0.025968
iter=930,err=0.025207
iter=940,err=0.024926
iter=950,err=0.024502
iter=960,err=0.024676
iter=970,err=0.024714
iter=980,err=0.024594
iter=990,err=0.024702
iter=1000,err=0.024726
